Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
CAMKII,NP_001259082.1,"[('XP_049324407.1', 'LOC103033831'), ('XP_007231120.3', 'CAMK2D1'), ('XP_022533905.2', 'CAMK2D1'), ('XP_022523236.1', 'CAMK2B1'), ('XP_049324406.1', 'LOC103033831'), ('XP_049338011.1', 'CAMK2D1'), ('XP_049324405.1', 'LOC103033831'), ('XP_022523235.1', 'CAMK2B1'), ('XP_049326277.1', 'CAMK2B1'), ('XP_007231118.3', 'CAMK2D1'), ('XP_049328069.1', 'CAMK2D2'), ('XP_049338009.1', 'CAMK2D1'), ('XP_049324404.1', 'LOC103033831'), ('XP_022523234.1', 'CAMK2B1'), ('XP_015464112.3', 'CAMK2D1'), ('XP_049328068.1', 'CAMK2D2'), ('XP_007258806.1', 'CAMK2G2'), ('XP_007231115.3', 'CAMK2D1'), ('XP_022537336.1', 'CAMK2D2'), ('XP_049338010.1', 'CAMK2D1'), ('XP_049328067.1', 'CAMK2D2'), ('XP_049324400.1', 'LOC103033831'), ('XP_049324403.1', 'LOC103033831'), ('XP_049324402.1', 'LOC103033831'), ('XP_022523241.1', 'CAMK2B1')]",126
CAMTA,NP_001137624.1,"[('XP_022538016.2', 'CAMTA1B'), ('XP_022532691.2', 'CAMTA1A'), ('XP_049318954.1', 'CAMTA1A'), ('XP_049318956.1', 'CAMTA1A'), ('XP_022533224.1', 'CAMTA2'), ('XP_022532689.2', 'CAMTA1A'), ('XP_049318953.1', 'CAMTA1A'), ('XP_049318951.1', 'CAMTA1A'), ('XP_049318952.1', 'CAMTA1A')]",127
CANA-14F,NP_001245717.1,"[('XP_022533946.1', 'LOC103021658'), ('XP_022533945.1', 'LOC103021658'), ('XP_022533944.1', 'LOC103021658'), ('XP_022531820.1', 'PPP3CA'), ('XP_022527732.1', 'PPP3CB'), ('XP_022533943.1', 'LOC103021658'), ('XP_022527730.1', 'PPP3CB'), ('XP_049330843.1', 'PPP3CB'), ('XP_022522560.1', 'PPP3CCA'), ('XP_022531819.1', 'PPP3CA'), ('XP_022527731.1', 'PPP3CB'), ('XP_007255004.1', 'PPP3CCB'), ('XP_022522558.1', 'PPP3CCA'), ('XP_022522559.1', 'PPP3CCA')]",128
CANA1,NP_524600.3,"[('XP_007255004.1', 'PPP3CCB'), ('XP_007255002.1', 'PPP3CCB'), ('XP_007255003.1', 'PPP3CCB')]",129
CAP,NP_610570.1,"[('XP_049341599.1', 'SORBS3'), ('XP_049341600.1', 'SORBS3'), ('XP_049341601.1', 'SORBS3')]",130
CAPT,NP_001033870.1,"[('XP_007245760.2', 'CAP1'), ('XP_007245812.1', 'CAP2'), ('XP_022539047.1', 'CAP2')]",131
CASK,NP_001262811.1,"[('XP_022536310.2', 'CASKA'), ('XP_022536308.2', 'CASKA'), ('XP_049335910.1', 'CASKB'), ('XP_049341112.1', 'CASKA'), ('XP_049335907.1', 'CASKB'), ('XP_049341114.1', 'CASKA'), ('XP_049335906.1', 'CASKB'), ('XP_049341116.1', 'CASKA'), ('XP_022536304.2', 'CASKA'), ('XP_049335903.1', 'CASKB'), ('XP_022536311.2', 'CASKA'), ('XP_049335901.1', 'CASKB'), ('XP_049335902.1', 'CASKB'), ('XP_049341110.1', 'CASKA'), ('XP_049341109.1', 'CASKA'), ('XP_049335904.1', 'CASKB'), ('XP_049335900.1', 'CASKB'), ('XP_049335896.1', 'CASKB'), ('XP_049341113.1', 'CASKA'), ('XP_049335897.1', 'CASKB'), ('XP_049335899.1', 'CASKB'), ('XP_049335909.1', 'CASKB'), ('XP_049335894.1', 'CASKB'), ('XP_049335908.1', 'CASKB'), ('XP_049335895.1', 'CASKB')]",132
CBP53E,NP_476838.1,"[('XP_007256291.1', 'CALB2A'), ('XP_007256889.3', 'LOC103030695'), ('XP_022525201.2', 'LOC103034108'), ('XP_022529859.1', 'CALB1')]",133
CBP80,NP_726938.1,"[('XP_007228090.2', 'LOC103040430')]",134
CCKLR-17D3,NP_001097023.1,"[('XP_007228004.2', 'LOC103038142'), ('XP_022530522.2', 'CCKBRA')]",135
CCN,NP_730294.1,"[('XP_007233529.1', 'CCN2A'), ('XP_007258906.4', 'CCN4A')]",136
CCT1,NP_524450.2,"[('XP_007237498.3', 'TCP1')]",137
CCT2,NP_572524.1,"[('XP_015461054.3', 'CCT2')]",138
CCT5,NP_523707.1,"[('XP_007254826.2', 'CCT5')]",139
CDASE,NP_651797.1,"[('XP_049320915.1', 'LOC103023313'), ('XP_015456977.3', 'LOC103021762')]",140
CDC42,NP_523414.1,"[('XP_007250068.1', 'CDC42L2'), ('XP_007251476.1', 'CDC42'), ('XP_007251477.1', 'CDC42'), ('XP_007256937.2', 'CDC42L'), ('XP_007230603.1', 'LOC103039613'), ('XP_022522531.1', 'LOC103039613')]",141
CDC6,NP_648247.1,"[('XP_007240198.3', 'CDC6')]",142
CDEP,NP_001036676.1,"[('XP_022531165.2', 'FARP2'), ('XP_022531162.2', 'FARP2'), ('XP_022531164.2', 'FARP2'), ('XP_022531167.2', 'FARP2'), ('XP_022531166.2', 'FARP2')]",143
CDK4,NP_477196.1,"[('XP_007259858.2', 'CDK6'), ('XP_007248446.1', 'CDK4')]",144
CENB1A,NP_524458.1,"[('XP_022532756.2', 'ACAP3A'), ('XP_049321413.1', 'LOC103039533'), ('XP_022538467.1', 'ACAP3B'), ('XP_022525552.2', 'LOC103039533'), ('XP_049338557.1', 'ACAP2A'), ('XP_049321414.1', 'LOC103039533')]",145
CENG1A,NP_723849.1,"[('XP_007258534.1', 'AGAP1'), ('XP_022529683.1', 'AGAP3'), ('XP_022529681.1', 'AGAP3'), ('XP_022529680.1', 'AGAP3'), ('XP_022531054.1', 'AGAP1')]",146
CERK,NP_730923.1,"[('XP_022519379.2', 'CERK'), ('XP_049329601.1', 'CERK')]",147
CERT,NP_648199.1,"[('XP_049326485.1', 'CERT1A'), ('XP_022532379.1', 'CERT1'), ('XP_049326484.1', 'CERT1A'), ('XP_022532376.1', 'CERT1'), ('XP_022532378.1', 'CERT1')]",148
CG10077,NP_648062.2,"[('XP_007252195.1', 'LOC103046784'), ('XP_007239642.1', 'DDX5'), ('XP_007239643.1', 'DDX5'), ('XP_049335280.1', 'DDX17')]",149
CG10185,NP_650521.1,"[('XP_007240267.3', 'NWD1'), ('XP_049321831.1', 'NWD1')]",150
CG10254,NP_001262878.1,"[('XP_022531320.2', 'UBE2O')]",151
CG10280,NP_649607.1,"[('XP_022525752.2', 'LOC103031737')]",152
CG10343,NP_609900.1,"[('XP_049338917.1', 'RWDD')]",153
CG10359,NP_001137882.1,"[('XP_049342181.1', 'FIBCD1A'), ('XP_007259833.2', 'ANGPTL1B')]",154
CG10365,NP_651176.1,"[('XP_007231568.1', 'CHAC1')]",155
CG10376,NP_609899.1,"[('XP_022523002.2', 'PPM1F')]",156
CG10383,NP_609896.1,"[('XP_007253962.2', 'SERAC1'), ('XP_007253961.2', 'SERAC1')]",157
CG10418,NP_648570.1,"[('XP_022531202.1', 'SMX5')]",158
CG10467,NP_648026.1,"[('XP_007240424.2', 'GALM')]",159
CG10512,NP_649289.2,"[('XP_007235108.2', 'LOC103033560')]",160
CG10565,NP_649284.1,"[('XP_007233743.2', 'DNAJC2')]",161
CG10576,NP_647984.1,"[('XP_007253393.1', 'PA2G4A'), ('XP_022532882.1', 'PA2G4B')]",162
CG10602,NP_609916.5,"[('XP_049329313.1', 'LTA4H')]",163
CG10621,NP_609920.1,"[('XP_022541060.1', 'ZGC:172121')]",164
CG10657,NP_648579.3,"[('XP_007255459.1', 'CLVS2')]",165
CG10674,NP_647950.1,"[('XP_007230063.1', 'WDR83OS')]",166
CG10700,NP_609942.1,"[('XP_049326650.1', 'LOC103040026'), ('XP_049326651.1', 'LOC103040026')]",167
CG10747,NP_610022.3,"[('XP_007247230.1', 'PLCXD3')]",168
CG10898,NP_650083.1,"[('XP_007229410.3', 'NUDT18')]",169
CG10903,NP_649762.1,"[('XP_007258468.2', 'BUD23')]",170
CG10947,NP_610031.1,"[('XP_022540684.2', 'CAMKMT')]",171
CG11007,NP_611429.1,"[('XP_007256166.2', 'TMX2B'), ('XP_022539236.2', 'TMX2A')]",172
CG11030,NP_608956.1,"[('XP_007260178.2', 'NGDN')]",173
CG1105,NP_649688.1,"[('XP_007253927.1', 'ARRDC3A'), ('XP_007242461.1', 'ARRDC3B'), ('XP_007240239.3', 'ARRDC2')]",174
CG11109,NP_730761.1,"[('XP_007238779.3', 'NSUN6')]",175
CG11134,NP_572916.1,"[('XP_049326957.1', 'LOC103033695')]",176
CG11178,NP_572901.1,"[('XP_022524855.2', 'AVL9')]",177
CG11200,NP_611471.1,"[('XP_007246763.3', 'DHRSX')]",178
CG11267,NP_648622.1,"[('XP_015459023.3', 'HSPE1')]",179
CG11334,NP_651868.1,"[('XP_007229603.1', 'MRI1')]",180
CG11360,NP_001259068.1,"[('XP_007258195.3', 'MEX3B'), ('XP_007236681.3', 'LOC103029329')]",181
CG11414,NP_611932.2,"[('XP_007247901.3', 'ZNF598')]",182
CG11417,NP_569906.1,"[('XP_022530256.2', 'ESF1'), ('XP_022530257.2', 'ESF1')]",183
CG11562,NP_608516.1,"[('XP_022521115.1', 'LOC111191186'), ('XP_022521116.1', 'LOC111191186')]",184
CG11583,NP_001033989.1,"[('XP_007252813.1', 'BXDC2')]",185
CG11658,NP_648498.1,"[('XP_022532544.1', 'FBXO25'), ('XP_007250892.3', 'FBXO32')]",186
CG11710,NP_608393.1,"[('XP_022525712.2', 'TRIP4')]",187
CG11737,NP_649803.1,"[('XP_049324907.1', 'TMEM135')]",188
CG11771,NP_651314.1,"[('XP_007240266.3', 'THOP1')]",189
CG11779,NP_650786.2,"[('XP_007246245.3', 'TIMM44'), ('XP_022534561.1', 'LOC103031346')]",190
CG11837,NP_651660.1,"[('XP_007229165.1', 'DIMT1L')]",191
CG11857,NP_001303417.1,"[('XP_022526398.1', 'RER1'), ('XP_022526399.1', 'RER1'), ('XP_022526400.1', 'RER1'), ('XP_022526401.1', 'RER1'), ('XP_022526402.1', 'RER1'), ('XP_022526403.1', 'RER1')]",192
CG11899,NP_652046.1,"[('XP_022518365.1', 'PSAT1')]",193
CG11920,NP_651335.2,"[('XP_007242332.1', 'IMP4')]",194
CG11961,NP_611413.2,"[('XP_007230682.3', 'LOC103041279')]",195
CG11964,NP_649847.1,"[('XP_049318673.1', 'CTNNBL1')]",196
CG11980,NP_649857.1,"[('XP_022538196.1', 'MYG1')]",197
CG12024,NP_647670.3,"[('XP_022536693.2', 'CUEDC1A'), ('XP_007236911.2', 'CUEDC1B'), ('XP_022521872.1', 'CUEDC1B'), ('XP_022521906.1', 'CUEDC1B')]",198
CG12084,NP_001261257.1,"[('XP_022532335.1', 'ZER1'), ('XP_022532336.1', 'ZER1')]",199
CG12099,NP_647623.1,"[('XP_007229396.3', 'RNF10')]",200
CG12107,NP_610314.1,"[('XP_007233886.1', 'RAB5IF')]",201
CG12128,NP_610543.1,"[('XP_007256611.2', 'SPOUT1')]",202
CG12134,NP_001369072.1,"[('XP_007229049.2', 'WDR89')]",203
CG12170,NP_649565.1,"[('XP_007242502.3', 'OXSM')]",204
CG12194,NP_001162873.1,"[('XP_022534499.2', 'MFSD1'), ('XP_022534498.2', 'MFSD1')]",205
CG12241,NP_650432.1,"[('XP_022527387.1', 'SGSM3'), ('XP_022527394.1', 'SGSM3')]",206
CG12301,NP_648781.1,"[('XP_049321179.1', 'SI:DKEY-251I10.3')]",207
CG12325,NP_610618.1,"[('XP_022530534.2', 'PWP2H')]",208
CG12343,NP_610617.1,"[('XP_007238628.1', 'SYF2')]",209
CG12355,NP_001097610.1,"[('XP_007231359.2', 'LOC103042289')]",210
CG12384,NP_610676.2,"[('XP_007252351.1', 'LOC103042601')]",211
CG12531,NP_608350.2,"[('XP_007232733.3', 'SLC7A14B'), ('XP_022524559.1', 'SLC7A14A')]",212
CG1265,NP_647878.1,"[('XP_007240796.2', 'LOC103046133')]",213
CG1275,NP_728726.1,"[('XP_007253570.1', 'LOC103030267'), ('XP_022523806.2', 'LOC103030455'), ('XP_022523807.2', 'LOC103030455'), ('XP_022523808.2', 'LOC103030455')]",214
CG12773,NP_001259131.1,"[('XP_007260023.3', 'SLC12A8'), ('XP_007260024.3', 'SLC12A8')]",215
CG12863,NP_610973.3,"[('XP_049320523.1', 'ZCCHC4'), ('XP_022526013.2', 'ZCCHC4')]",216
CG13001,NP_573181.1,"[('XP_007228439.1', 'LOC103036162'), ('XP_007256466.1', 'ZC4H2')]",217
CG13016,NP_610929.2,"[('XP_022530564.1', 'TMEM39A'), ('XP_049326114.1', 'TMEM39A')]",218
CG13126,NP_609330.1,"[('XP_022519320.2', 'METTL17')]",219
CG1316,NP_647887.1,"[('XP_049340672.1', 'RBM45')]",220
CG13192,NP_610702.1,"[('XP_049326265.1', 'GNB1L')]",221
CG13248,NP_649219.1,"[('XP_022541444.2', 'SLC7A4')]",222
CG13293,NP_648024.2,"[('XP_022523480.2', 'SCAI'), ('XP_022523481.2', 'SCAI'), ('XP_022523482.2', 'SCAI')]",223
CG13369,NP_569850.1,"[('XP_022528916.2', 'RBKS'), ('XP_022528917.2', 'RBKS'), ('XP_049319459.1', 'RBKS')]",224
CG13384,NP_723383.1,"[('XP_007246500.3', 'SLC36A1')]",225
CG1344,NP_001260711.1,"[('XP_007245490.3', 'SCYL3'), ('XP_007245491.3', 'SCYL3')]",226
CG1354,NP_001356937.1,"[('XP_007248906.1', 'OLA1')]",227
CG13690,NP_608521.1,"[('XP_049325670.1', 'RNASEH2A')]",228
CG1371,NP_610551.1,"[('XP_007258520.3', 'NOMO')]",229
CG13743,NP_001246214.1,"[('XP_049340861.1', 'SLC38A11')]",230
CG13893,NP_612042.3,"[('XP_007250376.3', 'SEC14L7'), ('XP_049324459.1', 'SEC14L7'), ('XP_049324460.1', 'SEC14L7'), ('XP_049324461.1', 'SEC14L7'), ('XP_022523018.2', 'SEC14L8')]",231
CG13920,NP_647639.1,"[('XP_022539378.1', 'TMEM35')]",232
CG1418,NP_610539.1,"[('XP_007250918.3', 'RABAC1')]",233
CG14210,NP_608328.1,"[('XP_022524008.1', 'CCDC86')]",234
CG14220,NP_608325.1,"[('XP_007240522.2', 'SUDS3')]",235
CG1440,NP_001285018.1,"[('XP_007236884.3', 'BLMH')]",236
CG14411,NP_572972.1,"[('XP_049327270.1', 'MTMR10'), ('XP_049327271.1', 'MTMR10'), ('XP_049327272.1', 'MTMR10'), ('XP_022520842.2', 'MTMR10')]",237
CG14434,NP_001284969.1,"[('XP_049323295.1', 'LOC125782640')]",238
CG14591,NP_610196.1,"[('XP_007247122.2', 'LOC103030241')]",239
CG14618,NP_608464.1,"[('XP_007255122.2', 'TRMT10A')]",240
CG14621,NP_608458.1,"[('XP_007233192.1', 'SLC35E1')]",241
CG14669,NP_649537.5,"[('XP_007228834.1', 'RASL10A')]",242
CG14767,NP_652400.3,"[('XP_007253971.1', 'LAPTM4A')]",243
CG14883,NP_650547.1,"[('XP_007241175.3', 'GDE1')]",244
CG14966,NP_647784.1,"[('XP_022539853.2', 'C10H15ORF40')]",245
CG14985,NP_647846.2,"[('XP_007255626.1', 'MITD1')]",246
CG15027,NP_572999.1,"[('XP_022518849.1', 'TMA16')]",247
CG15093,NP_611373.1,"[('XP_049336587.1', 'HIBADHB'), ('XP_049331963.1', 'HIBADHA')]",248
CG15099,NP_001261081.1,"[('XP_007253060.3', 'DOP1A'), ('XP_007253058.3', 'DOP1A'), ('XP_007253059.3', 'DOP1A')]",249
CG15118,NP_611396.1,"[('XP_022539215.1', 'ANKRD13D'), ('XP_022539213.1', 'ANKRD13D'), ('XP_022539214.1', 'ANKRD13D'), ('XP_049339867.1', 'ANKRD13D'), ('XP_022539216.1', 'ANKRD13D')]",250
CG1513,NP_610534.3,"[('XP_049341999.1', 'OSBPL9'), ('XP_049341998.1', 'OSBPL9')]",251
CG15211,NP_001096945.1,"[('XP_007249231.2', 'LOC103032250')]",252
CG1542,NP_651850.1,"[('XP_007250704.3', 'EBNA1BP2')]",253
CG15456,NP_652292.1,"[('XP_022520719.2', 'SELENOW2A')]",254
CG15528,NP_651767.2,"[('XP_022541285.1', 'ZGC:153044'), ('XP_049326482.1', 'ZGC:153044')]",255
CG15537,NP_001097981.1,"[('XP_007247050.1', 'LOC103033396')]",256
CG15743,NP_572869.1,"[('XP_022534341.1', 'BPNT2'), ('XP_049334836.1', 'BPNT2'), ('XP_049334837.1', 'BPNT2'), ('XP_049334838.1', 'BPNT2'), ('XP_049334840.1', 'BPNT2'), ('XP_049334841.1', 'BPNT2'), ('XP_049334842.1', 'BPNT2'), ('XP_049334843.1', 'BPNT2'), ('XP_049334844.1', 'BPNT2'), ('XP_049334845.1', 'BPNT2'), ('XP_049334846.1', 'BPNT2')]",257
CG1578,NP_001285140.1,"[('XP_007257457.3', 'DPH6')]",258
CG15890,NP_572968.1,"[('XP_049320131.1', 'ZGC:174356')]",259
CG15914,NP_573084.1,"[('XP_007250646.3', 'GTDC1'), ('XP_007250647.3', 'GTDC1'), ('XP_007250648.3', 'GTDC1'), ('XP_049341004.1', 'GTDC1')]",260
CG1598,NP_610296.2,"[('XP_007246702.3', 'GET3')]",261
CG1607,NP_001263139.1,"[('XP_007248079.3', 'SLC7A7'), ('XP_022534144.2', 'SLC7A7'), ('XP_022523119.2', 'SLC7A6'), ('XP_049321354.1', 'SLC7A6'), ('XP_007233864.3', 'SLC7A8A'), ('XP_007258116.3', 'SLC7A8B')]",262
CG1635,NP_651873.3,"[('XP_007249045.2', 'LOC103029600'), ('XP_007249044.2', 'LOC103029600')]",263
CG1662,NP_572883.1,"[('XP_007233216.1', 'MPV17L2')]",264
CG1671,NP_610526.1,"[('XP_022529114.2', 'TBL3')]",265
CG16868,NP_611469.1,"[('XP_007248273.3', 'CACHD1')]",266
CG1695,NP_728346.2,"[('XP_022521968.2', 'SGSM1A'), ('XP_022521966.2', 'SGSM1A'), ('XP_022521967.2', 'SGSM1A'), ('XP_022524558.1', 'SGSM2')]",267
CG16952,NP_001356947.1,"[('XP_007258262.3', 'BTBD7'), ('XP_049319634.1', 'LOC103040475'), ('XP_049319632.1', 'LOC103040475')]",268
CG16989,NP_569860.3,"[('XP_049322471.1', 'HEATR6')]",269
CG1703,NP_572736.1,"[('XP_022538874.2', 'ABCF1'), ('XP_022538873.2', 'ABCF1')]",270
CG17124,NP_609450.1,"[('XP_049338737.1', 'PPP1R14BB'), ('XP_049319496.1', 'PPP1R14D')]",271
CG17221,NP_608746.1,"[('XP_007257649.2', 'RTN4IP1')]",272
CG17266,NP_610224.1,"[('XP_007248016.2', 'PPIH')]",273
CG17544,NP_609961.2,"[('XP_007248073.3', 'ACOX3'), ('XP_007248074.3', 'ACOX3'), ('XP_049338800.1', 'ACOX3')]",274
CG17598,NP_608468.1,"[('XP_007232452.3', 'LOC103042295'), ('XP_022528167.1', 'PPM1H')]",275
CG17636,NP_001096854.1,"[('XP_007255036.3', 'GGT1B')]",276
CG17683,NP_001036428.1,"[('XP_022518679.2', 'NARFL'), ('XP_022518680.2', 'NARFL')]",277
CG17712,NP_608619.1,"[('XP_007256973.2', 'GFOD1')]",278
CG17754,NP_727331.1,"[('XP_022539767.1', 'KLHL4'), ('XP_022539765.2', 'KLHL4'), ('XP_049328550.1', 'KLHL5'), ('XP_049328551.1', 'KLHL5'), ('XP_049328549.1', 'KLHL5')]",279
CG1785,NP_572502.1,"[('XP_007232360.3', 'NOP53')]",280
CG1789,NP_572504.1,"[('XP_022529429.2', 'UTP11')]",281
CG17896,NP_569845.2,"[('XP_049319981.1', 'ALDH6A1')]",282
CG1812,NP_608397.1,"[('XP_007233201.3', 'KLHL26')]",283
CG18473,NP_731339.1,"[('XP_049332565.1', 'PTER')]",284
CG18659,NP_001188890.1,"[('XP_022525483.2', 'DENND1B'), ('XP_015456769.3', 'DENND1B')]",285
CG18858,NP_652700.1,"[('XP_022539593.1', 'PLA2G15')]",286
CG1983,NP_651776.2,"[('XP_022533001.1', 'PLPBP')]",287
CG2006,NP_001189310.1,"[('XP_022542755.2', 'DTWD1')]",288
CG2065,NP_610309.1,"[('XP_007253598.3', 'ZGC:112332'), ('XP_007249636.1', 'RDH12L'), ('XP_007245715.3', 'ZGC:153441'), ('XP_007237334.3', 'SI:DKEY-23O4.6')]",289
CG2200,NP_572852.1,"[('XP_022542387.2', 'SI:DKEY-69O16.5')]",290
CG2201,NP_724348.1,"[('XP_015463078.3', 'CHKA'), ('XP_007256295.3', 'CHKA'), ('XP_007233903.2', 'CHKB')]",291
CG2218,NP_651790.1,"[('XP_007254133.3', 'UBOX5'), ('XP_049341856.1', 'UBOX5'), ('XP_007254132.3', 'UBOX5'), ('XP_049341854.1', 'UBOX5'), ('XP_049341855.1', 'UBOX5')]",292
CG2224,NP_651796.1,"[('XP_007231552.3', 'STAMBPB')]",293
CG2258,NP_572439.1,"[('XP_022538255.2', 'LOC103028121')]",294
CG2260,NP_572441.1,"[('XP_049341629.1', 'WDR46')]",295
CG2608,NP_610042.1,"[('XP_022522114.1', 'SPAG7')]",296
CG2656,NP_649699.1,"[('XP_007252853.2', 'GPN3')]",297
CG2747,NP_001163547.1,"[('XP_049328108.1', 'HEATR5B'), ('XP_049328106.1', 'HEATR5B'), ('XP_049328107.1', 'HEATR5B')]",298
CG2794,NP_608533.1,"[('XP_007252903.3', 'ZGC:136858')]",299
CG2852,NP_611695.1,"[('XP_049330323.1', 'PPIB')]",300
CG2924,NP_569994.1,"[('XP_022528008.1', 'UBE2Q2'), ('XP_022528009.1', 'UBE2Q2'), ('XP_022542615.2', 'UBE2Q1'), ('XP_022542616.2', 'UBE2Q1'), ('XP_022528006.1', 'UBE2Q2'), ('XP_022528007.1', 'UBE2Q2'), ('XP_022542613.2', 'UBE2Q1'), ('XP_022542614.2', 'UBE2Q1')]",301
CG2930,NP_788855.1,"[('XP_007227983.3', 'SLC15A2'), ('XP_007248855.3', 'SLC15A1B'), ('XP_049341310.1', 'SLC15A1A')]",302
CG2938,NP_570085.1,"[('XP_007259870.2', 'CASD1')]",303
CG2972,NP_572603.1,"[('XP_049339243.1', 'NOB1')]",304
CG30010,NP_724847.2,"[('XP_007255700.1', 'C1H8ORF82')]",305
CG3008,NP_608871.1,"[('XP_022522649.2', 'RIOK3'), ('XP_022522650.2', 'RIOK3'), ('XP_022522651.2', 'RIOK3')]",306
CG3021,NP_652639.1,"[('XP_007235000.2', 'TRMU')]",307
CG30281,NP_726164.1,"[('XP_049325400.1', 'LOC103026484'), ('XP_022530179.2', 'LOC107196808'), ('XP_015458221.1', 'LOC103021906'), ('XP_049325402.1', 'LOC107196808'), ('XP_049325403.1', 'LOC103022726'), ('XP_022530177.2', 'LOC103021366')]",308
CG30291,NP_726016.1,"[('XP_007259224.2', 'CDK5RAP3')]",309
CG30373,NP_724654.1,"[('XP_007256885.3', 'C6H16ORF91')]",310
CG30389,NP_001261117.1,"[('XP_007249477.3', 'MACO1A')]",311
CG30423,NP_726490.3,"[('XP_007250701.3', 'LOC103045751'), ('XP_022518224.1', 'LEPROTL1')]",312
CG3045,NP_611646.1,"[('XP_007236408.3', 'PUS3'), ('XP_049336443.1', 'PUS3'), ('XP_015457681.3', 'PUS3')]",313
CG30496,NP_724595.1,"[('XP_049332592.1', 'GLMNA'), ('XP_022534321.1', 'GLMNA'), ('XP_049332591.1', 'GLMNA')]",314
CG3071,NP_569993.1,"[('XP_007244132.1', 'UTP15')]",315
CG3097,NP_572259.1,"[('XP_049340420.1', 'LOC103026101'), ('XP_007253627.4', 'CPA6')]",316
CG3106,NP_572577.1,"[('XP_022532265.2', 'OACYL')]",317
CG31064,NP_733203.1,"[('XP_049337239.1', 'RUFY2'), ('XP_049337240.1', 'RUFY2'), ('XP_049337238.1', 'RUFY2')]",318
CG31076,NP_733184.2,"[('XP_049337062.1', 'LRMDA')]",319
CG31122,NP_001356888.1,"[('XP_007238915.2', 'C11H2ORF69')]",320
CG31156,NP_651070.3,"[('XP_022540686.2', 'SRBD1')]",321
CG31183,NP_650505.2,"[('XP_007249743.2', 'NPR1B'), ('XP_007249744.2', 'NPR1B'), ('XP_007249745.2', 'NPR1B'), ('XP_007249747.2', 'NPR1B'), ('XP_007228583.2', 'NPR1A'), ('XP_022523591.2', 'NPR2'), ('XP_049332406.1', 'NPR1A')]",322
CG31249,NP_732262.1,"[('XP_022529041.1', 'RTRAF')]",323
CG31368,NP_996198.2,"[('XP_022528792.1', 'AQR')]",324
CG31445,NP_651689.1,"[('XP_007256298.3', 'ANPEPLB')]",325
CG31523,NP_649474.1,"[('XP_007236185.1', 'ELOVL8B'), ('XP_007236186.1', 'ELOVL8B')]",326
CG31637,NP_609043.1,"[('XP_007242514.1', 'CHST6'), ('XP_022539582.1', 'CHST1')]",327
CG3168,NP_572345.1,"[('XP_007235152.3', 'SV2')]",328
CG31683,NP_001260626.1,"[('XP_022539593.1', 'PLA2G15')]",329
CG31729,NP_609634.1,"[('XP_022523064.2', 'ATP9B'), ('XP_022523063.2', 'ATP9B'), ('XP_022523065.2', 'ATP9B'), ('XP_049331671.1', 'ATP9B')]",330
CG31751,NP_001334743.1,"[('XP_049321877.1', 'HYKK.2'), ('XP_007234062.2', 'HYKK.2'), ('XP_015456982.2', 'HYKK.2')]",331
CG31759,NP_723735.2,"[('XP_022537955.2', 'PDE12')]",332
CG31915,NP_723087.1,"[('XP_007229106.2', 'COLGALT1A'), ('XP_007250805.4', 'COLGALT2A'), ('XP_049325599.1', 'COLGALT1B'), ('XP_022525909.2', 'COLGALT2B'), ('XP_022536661.2', 'CERCAM')]",333
CG31937,NP_608616.2,"[('XP_007247609.3', 'DHRS7')]",334
CG32066,NP_729619.1,"[('XP_022533728.1', 'FAM49BA'), ('XP_007258655.1', 'FAM49BB'), ('XP_049336942.1', 'FAM49A'), ('XP_049336946.1', 'FAM49A')]",335
CG32069,NP_729654.1,"[('XP_007260879.1', 'IER3IP1')]",336
CG32104,NP_648573.2,"[('XP_022528268.2', 'RPAP1')]",337
CG32112,NP_001261779.1,"[('XP_007245666.3', 'ABHD18')]",338
CG32147,NP_730035.1,"[('XP_022534548.2', 'PGPEP1')]",339
CG3224,NP_572335.1,"[('XP_007244652.1', 'ZNF593')]",340
CG3225,NP_608860.1,"[('XP_022522164.1', 'DHX35')]",341
CG3226,NP_572332.1,"[('XP_022533473.1', 'LOC103025289')]",342
CG32276,NP_728830.1,"[('XP_007251789.1', 'SERP2')]",343
CG32281,NP_728821.2,"[('XP_007247605.3', 'TRMT5')]",344
CG32333,NP_001261246.1,"[('XP_049328116.1', 'FAM135A'), ('XP_049328115.1', 'FAM135A'), ('XP_049328114.1', 'FAM135A'), ('XP_049328113.1', 'FAM135A')]",345
CG32344,NP_612028.4,"[('XP_007254057.2', 'DDX54')]",346
CG32369,NP_729296.1,"[('XP_007259096.3', 'LONRF2'), ('XP_007242403.2', 'LOC103029053')]",347
CG32409,NP_729108.2,"[('XP_007248991.3', 'RRS1')]",348
CG32486,NP_647765.1,"[('XP_007245727.2', 'CYHR1')]",349
CG32668,NP_727502.1,"[('XP_007255732.2', 'ARMC2'), ('XP_049335891.1', 'ARMC2')]",350
CG32755,NP_727055.1,"[('XP_022529985.1', 'LOC111193440')]",351
CG33096,NP_001356926.1,"[('XP_007239719.1', 'ABHD17B'), ('XP_049321618.1', 'ABHD17C'), ('XP_022526578.2', 'ABHD17AB'), ('XP_022526579.2', 'ABHD17AB')]",352
CG33158,NP_788515.1,"[('XP_022525240.2', 'EFL1')]",353
